comparison_source,metric,epicentral_distance_km,kernel_bandwidth_km,pairs_within_200_km,effective_pair_count,systematic_mean_signed_change,empirical_standard_deviation,weighted_negative_percent,weighted_unchanged_percent,weighted_positive_percent
global_cmt,loss_ratio,175.0,15.0,1480,599.2515620275922,2.1199851798681932e-19,4.6096913166642986e-14,1.3550050745254028e-17,99.99999999788001,2.1199851947153664e-09
global_cmt,loss_ratio,176.0,15.0,1480,593.7361022772886,1.4183510613289573e-19,3.7694459329279825e-14,7.623838787646147e-18,99.99999999858166,1.4183510695681956e-09
global_cmt,loss_ratio,177.0,15.0,1480,587.4873527480024,9.456755150584069e-20,3.0772682122825966e-14,4.274905474162297e-18,99.99999999905432,9.456755196218185e-10
global_cmt,loss_ratio,178.0,15.0,1480,580.5118570835083,6.283985621836304e-20,2.508084523060501e-14,2.3890555998579053e-18,99.9999999993716,6.28398564706102e-10
global_cmt,loss_ratio,179.0,15.0,1480,572.8256719402269,4.1618967221488407e-20,2.04087803650203e-14,1.3307642985362538e-18,99.9999999995838,4.161896736063592e-10
global_cmt,loss_ratio,180.0,15.0,1480,564.4542079003154,2.7475156457838685e-20,1.6580625874197147e-14,7.388914166410755e-19,99.99999999972526,2.7475156534436997e-10
global_cmt,loss_ratio,181.0,15.0,1480,555.4318224051729,1.8080591379185273e-20,1.3449501660559183e-14,4.0897362275051775e-19,99.99999999981918,1.8080591421262156e-10
global_cmt,loss_ratio,182.0,15.0,1480,545.8011727449164,1.186152501462213e-20,1.089297531239892e-14,2.2567155081428476e-19,99.99999999988138,1.1861525037686334e-10
global_cmt,loss_ratio,183.0,15.0,1480,535.6123458392273,7.75812271448206e-21,8.809201595374564e-15,1.2415314639287417e-19,99.99999999992242,7.758122727097352e-11
global_cmt,loss_ratio,184.0,15.0,1480,524.9217912266164,5.059347927476257e-21,7.113637638081608e-15,6.810381004190025e-20,99.99999999994941,5.059347934361467e-11
global_cmt,loss_ratio,185.0,15.0,1480,513.7910934946642,3.2899436492386176e-21,5.736251584572538e-15,3.7252195272394895e-20,99.99999999996709,3.289943652988338e-11
global_cmt,loss_ratio,186.0,15.0,1480,502.2856291962037,2.1334041083952932e-21,4.619154670464975e-15,2.0320465851037412e-20,99.99999999997866,2.1334041104330205e-11
global_cmt,loss_ratio,187.0,15.0,1480,490.4731599113285,1.3796968504104242e-21,3.714596574477503e-15,1.1054820734219172e-20,99.9999999999862,1.379696851515432e-11
global_cmt,loss_ratio,188.0,15.0,1480,478.4224165311992,8.899292065112631e-22,2.9832721316960325e-15,5.9984794619818305e-21,99.99999999999109,8.899292071092152e-12
